Hour,Price (€/MWh),Charge (MW),Discharge (MW),SoC (MWh)
0,65,0.0,0.9591663,0.0
1,55,0.0,0.0,0.0
2,45,0.085144141,0.0,0.081667391
3,40,1.0,0.0,1.0408337
4,42,1.0,0.0,2.0
5,50,0.0,0.0,2.0
6,70,0.0,0.0,2.0
7,90,0.0,1.0,0.95742793
8,80,0.0,0.91833261,0.0
9,50,0.0,0.0,0.0
10,30,0.0,0.0,0.0
11,15,0.085144141,0.0,0.081667391
12,10,1.0,0.0,1.0408337
13,12,1.0,0.0,2.0
14,20,0.0,0.0,2.0
15,45,0.0,0.0,2.0
16,75,0.0,0.0,2.0
17,110,0.0,0.0,2.0
18,130,0.0,1.0,0.95742793
19,120,0.0,0.91833261,0.0
20,95,0.0,0.0,0.0
21,80,0.0,0.0,0.0
22,70,0.04257207,0.0,0.040833695
23,60,1.0,0.0,1.0
